 year |   pickup_datetime   
 2008 | 2008-12-31 23:45:57
 2008 | 2008-12-31 23:45:58
 2008 | 2008-12-31 23:46:26
 2008 | 2008-12-31 23:46:27
 2008 | 2008-12-31 23:46:38
 2008 | 2008-12-31 23:46:52
 2008 | 2008-12-31 23:47:50
 2008 | 2008-12-31 23:47:54
 2008 | 2008-12-31 23:48:30
 2008 | 2008-12-31 23:48:34
 2008 | 2008-12-31 23:48:49
 2008 | 2008-12-31 23:48:57
 2008 | 2008-12-31 23:49:25
 2008 | 2008-12-31 23:50:31
 2008 | 2008-12-31 23:50:47
 2008 | 2008-12-31 23:51:01
 2008 | 2008-12-31 23:51:21
 2008 | 2008-12-31 23:51:48
 2008 | 2008-12-31 23:52:46
 2008 | 2008-12-31 23:52:52
 2008 | 2008-12-31 23:53:47
 2008 | 2008-12-31 23:53:50
 2008 | 2008-12-31 23:54:06
 2008 | 2008-12-31 23:54:06
 2008 | 2008-12-31 23:54:42
 2008 | 2008-12-31 23:56:06
 2008 | 2008-12-31 23:56:35
 2008 | 2008-12-31 23:56:38
 2008 | 2008-12-31 23:56:44
 2008 | 2008-12-31 23:56:52
 2008 | 2008-12-31 23:57:13
 2008 | 2008-12-31 23:58:30
 2008 | 2008-12-31 23:58:46
 2008 | 2008-12-31 23:59:44
 2008 | 2008-12-31 23:59:56
 2008 | 2008-12-31 23:59:59
 2019 | 2019-01-01 00:00:05
 2019 | 2019-01-01 00:00:06
 2019 | 2019-01-01 00:00:10
 2019 | 2019-01-01 00:00:11
 2019 | 2019-01-01 00:00:12
 2019 | 2019-01-01 00:00:13
 2019 | 2019-01-01 00:00:21
 2019 | 2019-01-01 00:00:21
 2019 | 2019-01-01 00:00:29
 2019 | 2019-01-01 00:00:35
 2019 | 2019-01-01 00:00:37
 2019 | 2019-01-01 00:01:07
 2019 | 2019-01-01 00:01:22
 2019 | 2019-01-01 00:01:30
 2019 | 2019-01-01 00:01:41
 2019 | 2019-01-01 00:01:43
 2019 | 2019-01-01 00:01:43
 2019 | 2019-01-01 00:01:47
 2019 | 2019-01-01 00:01:54
 2019 | 2019-01-01 00:02:00
 2019 | 2019-01-01 00:02:18
 2019 | 2019-01-01 00:02:55
 2019 | 2019-01-01 00:03:03
 2019 | 2019-01-01 00:04:05
 2019 | 2019-01-01 00:04:12
 2019 | 2019-01-01 00:04:18
 2019 | 2019-01-01 00:04:32
 2019 | 2019-01-01 00:04:44
 2019 | 2019-01-01 00:06:51
 2019 | 2019-01-01 00:07:00
 2019 | 2019-01-01 00:08:37
 2019 | 2019-01-01 00:08:54
 2019 | 2019-01-01 00:15:14
 2019 | 2019-01-01 00:21:13
 2019 | 2019-01-01 00:21:16
 2019 | 2019-01-01 00:22:35
 2019 | 2019-01-01 00:22:41
 2019 | 2019-01-01 00:23:37
 2019 | 2019-01-01 00:27:46
 2019 | 2019-01-01 00:30:55
 2019 | 2019-01-01 00:32:29
 2019 | 2019-01-01 00:36:58
 2019 | 2019-01-01 00:44:31
 2019 | 2019-01-01 00:45:33
 2019 | 2019-01-01 00:46:49
 2019 | 2019-01-01 00:47:46
 2019 | 2019-01-01 00:59:19
 2019 | 2019-01-01 01:56:19
 2019 | 2019-01-01 02:00:14
 2019 | 2019-01-01 02:46:12
 2019 | 2019-01-01 04:01:49
 2019 | 2019-01-01 04:36:53
 2019 | 2019-01-01 04:49:40
 2019 | 2019-01-01 13:59:16
 2019 | 2019-01-01 14:15:09
 2019 | 2019-01-01 14:26:08
 2019 | 2019-01-01 14:44:59
 2019 | 2019-01-01 19:50:16
 2019 | 2019-01-01 20:26:12
 2019 | 2019-01-01 21:56:08
 2019 | 2019-01-01 22:18:49
 2019 | 2019-01-01 22:30:08
 2019 | 2019-01-02 00:38:17
 2019 | 2019-01-02 06:34:26
 2019 | 2019-01-02 22:11:35
 2019 | 2019-01-03 02:00:55
 2019 | 2019-01-03 02:24:24
 2019 | 2019-01-03 03:25:09
 2019 | 2019-01-03 10:22:40
 2019 | 2019-01-03 10:29:30
 2019 | 2019-01-03 22:13:36
 2019 | 2019-01-04 19:07:07
 2019 | 2019-01-04 19:43:17
 2019 | 2019-01-04 21:55:04
 2019 | 2019-01-04 22:21:15
 2019 | 2019-01-04 22:34:09
 2019 | 2019-01-06 06:51:26
 2019 | 2019-01-06 07:02:28
 2019 | 2019-01-06 21:46:01
 2019 | 2019-01-06 21:59:14
 2019 | 2019-01-07 08:06:13
 2019 | 2019-01-07 22:46:09
 2019 | 2019-01-08 00:27:41
 2019 | 2019-01-08 00:38:28
 2019 | 2019-01-08 00:57:26
 2019 | 2019-01-08 05:34:33
 2019 | 2019-01-08 06:04:05
 2019 | 2019-01-08 06:24:07
 2019 | 2019-01-09 22:23:05
 2019 | 2019-01-09 22:56:13
 2019 | 2019-01-10 06:22:07
 2019 | 2019-01-10 07:11:34
 2019 | 2019-01-12 00:32:19
 2019 | 2019-01-12 13:26:28
 2019 | 2019-01-12 13:36:49
 2019 | 2019-01-12 13:49:57
 2019 | 2019-01-13 15:01:15
 2019 | 2019-01-13 15:25:51
 2019 | 2019-01-14 21:11:47
 2019 | 2019-01-15 23:31:46
 2019 | 2019-01-16 00:12:34
 2019 | 2019-01-16 15:05:00
 2019 | 2019-01-18 08:08:37
 2019 | 2019-01-18 08:20:01
 2019 | 2019-01-18 09:07:09
 2019 | 2019-01-19 07:51:46
 2019 | 2019-01-19 07:58:42
 2019 | 2019-01-19 08:10:24
 2019 | 2019-01-19 08:40:03
 2019 | 2019-01-19 11:13:20
 2019 | 2019-01-19 11:46:53
 2019 | 2019-01-20 08:44:46
 2019 | 2019-01-20 20:44:16
 2019 | 2019-01-22 06:16:11
 2019 | 2019-01-22 12:02:33
 2019 | 2019-01-22 22:02:13
 2019 | 2019-01-22 22:16:11
 2019 | 2019-01-22 22:25:16
 2019 | 2019-01-22 22:45:42
 2019 | 2019-01-23 06:22:38
 2019 | 2019-01-23 06:43:28
 2019 | 2019-01-23 14:30:45
 2019 | 2019-01-23 15:11:02
 2019 | 2019-01-25 06:18:12
 2019 | 2019-01-26 03:02:46
 2019 | 2019-01-26 03:16:01
 2019 | 2019-01-26 05:52:30
 2019 | 2019-01-26 06:11:40
 2019 | 2019-01-27 14:47:08
 2019 | 2019-01-28 02:38:41
 2019 | 2019-01-28 05:21:25
 2019 | 2019-01-29 06:08:21
 2019 | 2019-01-29 06:29:17
 2019 | 2019-01-29 06:57:55
 2019 | 2019-01-29 08:23:12
 2019 | 2019-01-29 08:35:47
 2019 | 2019-01-29 09:10:23
 2019 | 2019-01-29 13:55:44
 2019 | 2019-01-29 14:13:01
 2019 | 2019-01-31 06:27:35
 2019 | 2019-01-31 06:51:54
 2019 | 2019-01-31 14:44:28
 2019 | 2019-02-02 08:51:51
 2019 | 2019-02-02 21:16:07
 2019 | 2019-02-02 21:52:47
 2019 | 2019-02-03 23:33:42
 2019 | 2019-02-06 23:01:28
 2019 | 2019-02-06 23:13:25
 2019 | 2019-02-06 23:34:30
 2019 | 2019-02-08 16:09:17
 2019 | 2019-02-08 17:35:27
 2019 | 2019-02-09 19:33:55
 2019 | 2019-02-09 19:40:19
 2019 | 2019-02-10 11:36:02
 2019 | 2019-02-11 04:39:43
 2019 | 2019-02-12 14:26:57
 2019 | 2019-02-13 06:20:00
 2019 | 2019-02-13 13:52:03
 2019 | 2019-02-13 14:30:35
 2019 | 2019-02-13 22:34:52
 2019 | 2019-02-13 22:50:16
 2019 | 2019-02-13 23:06:39
 2019 | 2019-02-18 10:43:29
 2019 | 2019-02-19 14:54:33
 2019 | 2019-02-19 16:25:54
 2019 | 2019-02-19 16:32:12
 2019 | 2019-02-19 21:55:07
 2019 | 2019-02-19 22:24:28
 2019 | 2019-02-21 14:12:55
 2019 | 2019-02-21 15:02:07
 2019 | 2019-02-23 16:13:35
 2019 | 2019-02-23 16:27:08
 2019 | 2019-02-23 16:38:23
 2019 | 2019-02-23 16:48:38
 2019 | 2019-02-24 05:27:39
 2019 | 2019-02-24 05:57:25
 2019 | 2019-02-25 07:15:01
 2019 | 2019-02-28 07:03:51
 2019 | 2019-02-28 07:41:58
 2019 | 2019-03-01 01:07:25
 2019 | 2019-03-02 00:21:41
 2019 | 2019-03-03 03:08:07
 2019 | 2019-03-03 03:27:20
 2019 | 2019-03-04 00:13:56
 2019 | 2019-03-04 12:35:59
 2019 | 2019-03-05 22:08:49
 2019 | 2019-03-06 21:49:13
 2019 | 2019-03-06 21:57:02
 2019 | 2019-03-07 06:25:03
 2019 | 2019-03-08 21:57:04
 2019 | 2019-03-08 22:21:43
